Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee,google_maps_link
Dr. Rajesh Kumar,Cardiologist,"MBBS, MD",15 years,Koramangala,Bangalore,98,450 votes,₹800,https://www.google.com/maps/search/Dr.+Rajesh+Kumar+doctor+Koramangala+Bangalore
Dr. Priya Sharma,Dermatologist,"MBBS, MD, DVD",12 years,Indiranagar,Bangalore,96,320 votes,₹600,https://www.google.com/maps/search/Dr.+Priya+Sharma+doctor+Indiranagar+Bangalore
Dr. Anil Gupta,Orthopedist,"MBBS, MS Ortho",18 years,HSR Layout,Bangalore,97,280 votes,₹700,https://www.google.com/maps/search/Dr.+Anil+Gupta+doctor+HSR+Layout+Bangalore
Dr. Sunita Reddy,Gynecologist,"MBBS, MD",10 years,Whitefield,Bangalore,95,380 votes,₹650,https://www.google.com/maps/search/Dr.+Sunita+Reddy+doctor+Whitefield+Bangalore
Dr. Suresh Babu,Pediatrician,"MBBS, MD Pediatrics",14 years,JP Nagar,Bangalore,99,520 votes,₹500,https://www.google.com/maps/search/Dr.+Suresh+Babu+doctor+JP+Nagar+Bangalore
Dr. Meera Nair,Dentist,"BDS, MDS",8 years,Marathahalli,Bangalore,94,210 votes,₹400,https://www.google.com/maps/search/Dr.+Meera+Nair+doctor+Marathahalli+Bangalore
Dr. Vikram Singh,Neurologist,"MBBS, MD, DM Neurology",20 years,Jayanagar,Bangalore,100,650 votes,₹1200,https://www.google.com/maps/search/Dr.+Vikram+Singh+doctor+Jayanagar+Bangalore
Dr. Kavitha Rao,Ophthalmologist,"MBBS, MS Ophthalmology",16 years,Electronic City,Bangalore,96,340 votes,₹550,https://www.google.com/maps/search/Dr.+Kavitha+Rao+doctor+Electronic+City+Bangalore
Dr. Ravi Kumar,Gastroenterologist,"MBBS, MD, DM Gastro",13 years,Banashankari,Bangalore,98,290 votes,₹900,https://www.google.com/maps/search/Dr.+Ravi+Kumar+doctor+Banashankari+Bangalore
Dr. Deepa Krishnan,Psychiatrist,"MBBS, MD Psychiatry",11 years,Malleshwaram,Bangalore,97,180 votes,₹800,https://www.google.com/maps/search/Dr.+Deepa+Krishnan+doctor+Malleshwaram+Bangalore
